geoName,geoCode,value,topic,date
Macon GA,503,100,Employment,2020-02-15
Savannah GA,507,51,Employment,2020-02-15
Tallahassee FL-Thomasville GA,530,74,Employment,2020-02-15
Albany GA,525,79,Employment,2020-02-16
Atlanta GA,524,100,Employment,2020-02-16
Augusta GA,520,51,Employment,2020-02-16
Chattanooga TN,575,37,Employment,2020-02-16
Columbus GA,522,36,Employment,2020-02-16
Dothan AL,606,0,Employment,2020-02-16
Jacksonville FL,561,8,Employment,2020-02-16
Macon GA,503,90,Employment,2020-02-16
Savannah GA,507,96,Employment,2020-02-16
Tallahassee FL-Thomasville GA,530,31,Employment,2020-02-16
Albany GA,525,94,Employment,2020-02-17
Atlanta GA,524,85,Employment,2020-02-17
Augusta GA,520,57,Employment,2020-02-17
Chattanooga TN,575,21,Employment,2020-02-17
Columbus GA,522,33,Employment,2020-02-17
Dothan AL,606,0,Employment,2020-02-17
Jacksonville FL,561,4,Employment,2020-02-17
Macon GA,503,100,Employment,2020-02-17
Savannah GA,507,71,Employment,2020-02-17
Tallahassee FL-Thomasville GA,530,17,Employment,2020-02-17
Albany GA,525,100,Employment,2020-02-18
Atlanta GA,524,83,Employment,2020-02-18
Augusta GA,520,95,Employment,2020-02-18
Chattanooga TN,575,27,Employment,2020-02-18
Columbus GA,522,59,Employment,2020-02-18
Dothan AL,606,0,Employment,2020-02-18
Jacksonville FL,561,6,Employment,2020-02-18
Macon GA,503,88,Employment,2020-02-18
Savannah GA,507,59,Employment,2020-02-18
Tallahassee FL-Thomasville GA,530,28,Employment,2020-02-18
Albany GA,525,100,Employment,2020-02-19
Atlanta GA,524,85,Employment,2020-02-19
Augusta GA,520,88,Employment,2020-02-19
Chattanooga TN,575,22,Employment,2020-02-19
Columbus GA,522,39,Employment,2020-02-19
Dothan AL,606,10,Employment,2020-02-19
Jacksonville FL,561,8,Employment,2020-02-19
Macon GA,503,64,Employment,2020-02-19
Savannah GA,507,68,Employment,2020-02-19
Tallahassee FL-Thomasville GA,530,28,Employment,2020-02-19
Albany GA,525,100,Employment,2020-02-20
Atlanta GA,524,88,Employment,2020-02-20
Augusta GA,520,69,Employment,2020-02-20
Chattanooga TN,575,16,Employment,2020-02-20
Columbus GA,522,52,Employment,2020-02-20
Dothan AL,606,0,Employment,2020-02-20
Jacksonville FL,561,7,Employment,2020-02-20
Macon GA,503,100,Employment,2020-02-20
Savannah GA,507,65,Employment,2020-02-20
Tallahassee FL-Thomasville GA,530,52,Employment,2020-02-20
Albany GA,525,47,Employment,2020-02-21
Atlanta GA,524,50,Employment,2020-02-21
Augusta GA,520,55,Employment,2020-02-21
Chattanooga TN,575,11,Employment,2020-02-21
Columbus GA,522,24,Employment,2020-02-21
Dothan AL,606,0,Employment,2020-02-21
Jacksonville FL,561,2,Employment,2020-02-21
Macon GA,503,100,Employment,2020-02-21
Savannah GA,507,37,Employment,2020-02-21
Tallahassee FL-Thomasville GA,530,27,Employment,2020-02-21
Albany GA,525,100,Employment,2020-02-22
Atlanta GA,524,57,Employment,2020-02-22
Augusta GA,520,52,Employment,2020-02-22
Chattanooga TN,575,21,Employment,2020-02-22
Columbus GA,522,43,Employment,2020-02-22
Dothan AL,606,0,Employment,2020-02-22
Jacksonville FL,561,9,Employment,2020-02-22
Macon GA,503,59,Employment,2020-02-22
Savannah GA,507,46,Employment,2020-02-22
Tallahassee FL-Thomasville GA,530,19,Employment,2020-02-22
Albany GA,525,100,Employment,2020-02-23
Atlanta GA,524,84,Employment,2020-02-23
Augusta GA,520,44,Employment,2020-02-23
Chattanooga TN,575,25,Employment,2020-02-23
Columbus GA,522,51,Employment,2020-02-23
Dothan AL,606,0,Employment,2020-02-23
Jacksonville FL,561,13,Employment,2020-02-23
Macon GA,503,78,Employment,2020-02-23
Savannah GA,507,73,Employment,2020-02-23
Tallahassee FL-Thomasville GA,530,64,Employment,2020-02-23
Albany GA,525,97,Employment,2020-02-24
Atlanta GA,524,88,Employment,2020-02-24
Augusta GA,520,63,Employment,2020-02-24
Chattanooga TN,575,15,Employment,2020-02-24
Columbus GA,522,62,Employment,2020-02-24
Dothan AL,606,0,Employment,2020-02-24
Jacksonville FL,561,10,Employment,2020-02-24
Macon GA,503,96,Employment,2020-02-24
Savannah GA,507,100,Employment,2020-02-24
Tallahassee FL-Thomasville GA,530,36,Employment,2020-02-24
Albany GA,525,61,Employment,2020-02-25
Atlanta GA,524,79,Employment,2020-02-25
Augusta GA,520,94,Employment,2020-02-25
Chattanooga TN,575,16,Employment,2020-02-25
Columbus GA,522,40,Employment,2020-02-25
Dothan AL,606,0,Employment,2020-02-25
Jacksonville FL,561,9,Employment,2020-02-25
Macon GA,503,100,Employment,2020-02-25
Savannah GA,507,78,Employment,2020-02-25
Tallahassee FL-Thomasville GA,530,22,Employment,2020-02-25
Albany GA,525,100,Employment,2020-02-26
Atlanta GA,524,73,Employment,2020-02-26
Augusta GA,520,86,Employment,2020-02-26
Chattanooga TN,575,19,Employment,2020-02-26
Columbus GA,522,42,Employment,2020-02-26
Dothan AL,606,19,Employment,2020-02-26
Jacksonville FL,561,10,Employment,2020-02-26
Macon GA,503,62,Employment,2020-02-26
Savannah GA,507,66,Employment,2020-02-26
Tallahassee FL-Thomasville GA,530,24,Employment,2020-02-26
Albany GA,525,100,Employment,2020-02-27
Atlanta GA,524,86,Employment,2020-02-27
Augusta GA,520,56,Employment,2020-02-27
Chattanooga TN,575,20,Employment,2020-02-27
Columbus GA,522,24,Employment,2020-02-27
Dothan AL,606,0,Employment,2020-02-27
Jacksonville FL,561,8,Employment,2020-02-27
Macon GA,503,75,Employment,2020-02-27
Savannah GA,507,72,Employment,2020-02-27
Tallahassee FL-Thomasville GA,530,26,Employment,2020-02-27
Albany GA,525,90,Employment,2020-02-28
Atlanta GA,524,76,Employment,2020-02-28
Augusta GA,520,63,Employment,2020-02-28
Chattanooga TN,575,32,Employment,2020-02-28
Columbus GA,522,36,Employment,2020-02-28
Dothan AL,606,0,Employment,2020-02-28
Jacksonville FL,561,11,Employment,2020-02-28
Macon GA,503,100,Employment,2020-02-28
Savannah GA,507,55,Employment,2020-02-28
Tallahassee FL-Thomasville GA,530,14,Employment,2020-02-28
Albany GA,525,100,Employment,2020-02-29
Atlanta GA,524,60,Employment,2020-02-29
Augusta GA,520,58,Employment,2020-02-29
Chattanooga TN,575,25,Employment,2020-02-29
Columbus GA,522,43,Employment,2020-02-29
Dothan AL,606,0,Employment,2020-02-29
Jacksonville FL,561,6,Employment,2020-02-29
Macon GA,503,74,Employment,2020-02-29
Savannah GA,507,51,Employment,2020-02-29
Tallahassee FL-Thomasville GA,530,33,Employment,2020-02-29
Albany GA,525,99,Housing,2020-03-01
Atlanta GA,524,83,Housing,2020-03-01
Augusta GA,520,90,Housing,2020-03-01
Chattanooga TN,575,0,Housing,2020-03-01
Columbus GA,522,100,Housing,2020-03-01
Dothan AL,606,0,Housing,2020-03-01
Jacksonville FL,561,14,Housing,2020-03-01
Macon GA,503,0,Housing,2020-03-01
Savannah GA,507,59,Housing,2020-03-01
Tallahassee FL-Thomasville GA,530,0,Housing,2020-03-01
Albany GA,525,45,Housing,2020-03-02
Atlanta GA,524,54,Housing,2020-03-02
Augusta GA,520,84,Housing,2020-03-02
Chattanooga TN,575,14,Housing,2020-03-02
Columbus GA,522,22,Housing,2020-03-02
Dothan AL,606,0,Housing,2020-03-02
Jacksonville FL,561,14,Housing,2020-03-02
